id,name,category,genre,threads,threads_confirmed,other_sns,followers,claimed_income,income_tier,monetization,style,credibility,hype_flag,prominence,sources
17,なゆた♧3姉妹ママ,A. 教材・ノウハウ販売型,Threads×楽天アフィ(3姉妹ママの隙間時間),不明,不明,note(humble_daisy8859),不明,Threads×楽天アフィで月10万稼ぐまで,③月8〜10万,note記事販売/誘導,「アフィは踏まないと決めていた私が」共感ストーリー型,note発信者。収益自己申告,,2,https://note.com/humble_daisy8859/n/n3a9be543c26f
18,はなひら,A. 教材・ノウハウ販売型,Threads×楽天アフィリエイト,不明,不明,note(@decided),不明,月5万円(目標値・本人提示),④月1〜5万(初級レンジ),note記事「初心者向け完全収益化ガイド」,初心者向け完全収益化ガイド型,note発信者。ハンドル未確認,,2,https://note.com/decided/n/nf99978693555
19,アンパンママ⌇Threads×楽天アフィでママたちを救う,A. 教材・ノウハウ販売型,Threads×楽天アフィ(ママ向け),不明,不明,note(saya923),1ヶ月で1.2万フォロワー(Threads・自己申告),1ヶ月で月15万円,②月15〜50万(要検証),note記事(NG行動まとめ等),ママ支援を掲げNG行動・失敗回避を解説,短期での高実績主張、自販note内の自己申告,要注意(誇大の可能性),2,https://note.com/saya923/n/n83d267b7a196
20,クッキー,A. 教材・ノウハウ販売型,子育て/日用品(育児スキマ時間),不明,不明,note(@modern_llama167),不明,月10万円達成(育児スキマ時間・本人公表),③月8〜10万,有料note(楽天アフィの話),育児のスキマ時間で稼いだ体験談型,本人公表のみ・検証不可。月10万は誇張の可能性,,2,https://note.com/modern_llama167/n/n0da0b2634281
21,テンハッピー(Threads×楽天アフィ),A. 教材・ノウハウ販売型,日用品/暮らし(元楽天社員という訴求),不明,不明,note(@leal_iguana1546),不明,1ヶ月で月10万円達成(本人公表),③月8〜10万,有料note(攻略),『元楽天社員が明かす』を権威付けにした攻略解説,本人公表のみ・検証不可。『元楽天社員』は自称で裏付けなし,,2,https://note.com/leal_iguana1546/n/n0f7f543def17
22,パソコン倶楽部（omoto_club）,A. 教材・ノウハウ販売型,AI×SNS Threadsアフィリエイト,不明,不明,note(omoto_club),不明,『月10万円』（目標値）,③月8〜10万,note連載/有料記事『月10万円』等を販売,AI×SNSブランドで記事量産型,目標値ベース。実績の裏付け薄い,,2,https://note.com/omoto_club/n/n593ecb2a61b6 | https://note.com/omoto_club/n/na4655ca39d5d
23,小太郎,A. 教材・ノウハウ販売型,楽天/Amazonアフィリエイト投稿文作成GPTs,不明,不明,"Brain(kotaro_koko), X",不明,不明,不明/非公表,Brain『X/Threads投稿文章作成特化型GPTs』販売,X・Threads投稿文生成GPTsのツール販売型,ツール販売中心。収益実績の主張なし,,2,https://brain-market.com/u/kotaro_koko/a/b4MTO5IjMgoTZsNWa0JXY
24,harucu_marketing(はるくま),B. Threads実践・発信型,マーケ/ガジェット(規約・手法解説),@harucuma_amuc（推定）,推定,note(@harucuma_amuc),不明,月3万円達成のロードマップ(本人公表),④月1〜5万(初級レンジ),有料/無料note(規約順守ガイド),景表法・規約違反回避など堅実な手法解説型,note発信者。誇大表現は少なめ,要注意(誇大の可能性),2,https://note.com/harucuma_amuc/n/n63bb3d38249b
25,ゆか(yu_ka)@WordPress専門家,B. Threads実践・発信型,アフィリエイター視点の実体験レビュー,不明,不明,"note(@yuka001), ブログ/WordPress",不明,不明(懐疑的な検証記事),⑤目標値/少額・実額不明,note(実体験記)/ブログ,Threads×楽天を実際やって思ったこと(批判含む),検証寄りで誇大表現なし。信頼度は相対的に高め,要注意(誇大の可能性),2,https://note.com/yuka001/n/n3ed7c7fdf470
26,青ゆりあ,B. Threads実践・発信型,0から始めるThreads楽天アフィリエイト(連載),不明,不明,note(@fu_ring328),不明,不明(0から始める連載),⑤目標値/少額・実額不明,note(攻略本レビュー・PR/アフィリ導線),『0から始める』連載＋他者攻略本レビュー型,本人公表のみ・検証不可。レビューはアフィリPRの可能性,,2,https://note.com/fu_ring328/n/n86848ff3da23 | https://note.com/fu_ring328/n/n8b1493397ec0
27,Rei＊働くママと子供のいる暮らし,C. 楽天ROOMインフルエンサー型,楽天ROOM インテリア・日用雑貨・子育て,不明,不明,"Instagram, 楽天ROOM",IG 約36.6万,不明,不明/非公表,楽天ROOM/楽天アフィリエイト、タイアップ,3児のワーママ目線で日用品・子ども用品・マタニティ紹介,find-model子育て系掲載。信頼度中〜高,,2,https://find-model.jp/insta-lab/influencers-rakuten-room-family/ | https://find-model.jp/insta-lab/rakuten-room-influencers-lifestyle-goods/
28,Umy,C. 楽天ROOMインフルエンサー型,楽天ROOM カジュアルファッション,不明,不明,"Ameba公式トップブロガー, Instagram, 楽天ROOM",IG 約53.4万,不明,不明/非公表,楽天ROOM、Ameba、タイアップ,カジュアルコーデ提案が中心,Ameba公式トップブロガーで一定の信頼度,,2,https://find-model.jp/insta-lab/rakuten-room-influencers-fashion/
29,yuki（ドキ子）インテリアと暮らし,C. 楽天ROOMインフルエンサー型,楽天ROOM インテリア・暮らし,不明,不明,"Instagram, 楽天ROOM",約8.5万(2022年11月時点/推定),不明,不明/非公表,楽天ROOM/楽天アフィリエイト,シンプルで役立つ商品をジャンル分けして紹介,find-model掲載。数値のプラットフォーム不明確,,2,https://find-model.jp/insta-lab/rakuten-room-interior-influencer/
30,あすか｜ROOMインフルエンサー,C. 楽天ROOMインフルエンサー型,楽天ROOM ミニマリスト・生活雑貨,不明,不明,"Instagram, 楽天ROOM",約24.51万(楽天ROOM/推定)、ROOM OF THE YEAR 2024総合3位,不明,不明/非公表,楽天ROOM/楽天アフィリエイト,白基調のシンプル上品な雑貨を厳選紹介,ROOM OF THE YEAR 2024総合3位・2年連続上位。信頼度高,,2,https://find-model.jp/insta-lab/rakuten-room-influencers-lifestyle-goods/ | https://find-model.jp/insta-lab/rakutenroom-influencer-household-goods/
31,ひより,C. 楽天ROOMインフルエンサー型,楽天ROOM 生活雑貨・インテリア,不明,不明,"Instagram, 楽天ROOM",不明,不明,不明/非公表,楽天ROOM/楽天アフィリエイト,白を基調に部屋をおしゃれにする雑貨・日用品を紹介,find-model掲載。信頼度中,,2,https://find-model.jp/insta-lab/rakuten-room-influencers-lifestyle-goods/ | https://find-model.jp/insta-lab/rakuten-room-interior-influencer/
32,ムーン☽（moon_ismart）,C. 楽天ROOMインフルエンサー型,楽天ROOM 生活雑貨・日用品,@moon_ismart（推定）,推定,"Instagram(moon_ismart), 楽天ROOM",約35.64万(楽天ROOM、2023年9月時点/推定),不明,不明/非公表,楽天ROOM/楽天アフィリエイト,30代主婦が「買ってよかった」日用品を紹介,find-model掲載の大型ROOMインフルエンサー,,2,https://find-model.jp/insta-lab/rakutenroom-influencer-household-goods/ | https://www.instagram.com/moon_ismart/?hl=ja
33,Rさん@楽天×ECサイトアフィリ攻略,D. コンサル・教育事業型,EC/日用品(楽天アフィ全般),不明,不明,note(@affiliate1234),不明,不明(『稼がせる人』指導者ポジション),⑤目標値/少額・実額不明,有料note(攻略)/コンサル的訴求,新SNS参入をいち早く解説する指導者型,数値未確認、指導者ポジション,,2,https://note.com/affiliate1234/n/n42282e79357a
34,けんいち｜ブログ収益で個人事業主,E. 検証・批評型,ブログ収益・Threads検証,不明,不明,"note(@kenichi_log), ブログ",不明,不明(1ヶ月試した検証記事),⑤目標値/少額・実額不明,note(個人事業主を名乗る),『稼げる?1ヶ月試した』率直な検証・評価型,検証寄りで誇大表現なし。信頼度は相対的に高め,要注意(誇大の可能性),2,https://note.com/kenichi_log/n/n7be8f7fd9d5c
35,ankoro,A. 教材・ノウハウ販売型,楽天アフィリエイト×Threads,@ankoro_18,確認済,固定スレにまとめ,不明,"楽天アフィで57,000円",⑤目標値/少額・実額不明,テンプレ配布・固定投稿誘導,「テンプレ真似するだけ」再現性訴求,実ハンドル確認済。収益自己申告,,1,https://www.threads.com/@ankoro_18/post/DRLPFudAQIH/
36,ばいらるくん｜SNSで在宅副業,A. 教材・ノウハウ販売型,Threads収益化(在宅副業),@viralkun_sns,確認済,不明,不明,「1日で3万円稼いだ」,⑤目標値/少額・実額不明,収益化ノウハウ発信・教材示唆,インパクト重視の収益実績訴求,実ハンドル確認済。誇張的訴求で要留保,要注意(誇大の可能性),1,https://www.threads.com/@viralkun_sns/post/C_7oCVyJfOQ
37,まこ｜Threads×アフィリエイト発信,A. 教材・ノウハウ販売型,Threads×アフィリエイト(楽天トラベル等),@mako_blog_,確認済,不明,不明,不明(初月1万円層),④月1〜5万(初級レンジ),固定投稿にやり方をまとめ誘導,「ジャンル決めなくてOK・楽天トラベル推奨」実用Tips,実ハンドル確認済,,1,https://www.threads.com/@mako_blog_?hl=ja
38,Threadsの由美｜楽天アフィリ1日10分で月3万円,B. Threads実践・発信型,楽天・Amazonアフィリエイト×Threads,@yumi202376,確認済,X,不明,1日10分で月3万円(プロフィール掲示),④月1〜5万(初級レンジ),ノウハウ発信・誘導,スキマ時間・時短を前面に、注意点も投稿,実ハンドル確認済。収益自己申告,,1,https://www.threads.com/@yumi202376/post/DHUcFqXJcH0/
39,あまね,B. Threads実践・発信型,Threads収益化,@amane_insta_,確認済,Instagram示唆,不明,不明,不明/非公表,「Threads収益化4ステップ」ノウハウ発信,手順を4ステップに簡略化して提示,実ハンドル確認済,,1,https://www.threads.com/@amane_insta_/post/DD_RmzmJDwa
40,せせ,B. Threads実践・発信型,楽天アフィリエイト×Threads(ASP登録実務),@sese_goodlife,確認済,不明,不明,不明,不明/非公表,不明,「もしも以外はスレッズでも登録できた」等の実務情報,実ハンドル確認済。実務Tips中心,,1,https://www.threads.com/@sese_goodlife/post/DEPtiS3yjtc
41,はる⌂*,B. Threads実践・発信型,育児2児ママの生活/お得系,@____haru.mama,確認済,Threads(____haru.mama),不明,不明(ふるさと納税等お得情報でアフィ導線),⑤目標値/少額・実額不明,Threads投稿→楽天アフィリンク導線,育児をゆるく楽しむ実生活系お得情報,実Threads垢は確認。収益額は未確認,,1,https://www.threads.com/@____haru.mama/post/DPM874_E9Cz/
42,ひろ｜在宅で月10万叶えるブログの先生,B. Threads実践・発信型,ブログ×Threadsアフィリエイト,@hiro_blog_life,確認済,ブログ,不明,在宅で月10万(プロフィール掲示),③月8〜10万,ブログ・固定投稿・コメント欄リンクの3導線,リンク設計・導線づくりのノウハウ発信,実ハンドル確認済。収益自己申告,,1,https://www.threads.com/@hiro_blog_life/post/DHNVa4ozmNk/
43,むぎ,B. Threads実践・発信型,楽天アフィリエイト×ブログ/Threads,@mugi629322,確認済,ブログ,不明,"4日で初報酬、2ヶ月目14,847円、3ヶ月目31,396円",⑤目標値/少額・実額不明,ブログへの誘導,月次の具体的な報酬額を淡々と公開,実ハンドル確認済。細かい実額提示で比較的具体的,,1,https://www.threads.com/@mugi629322/post/DI2g4rjzN8b/
44,佐々木三四郎,B. Threads実践・発信型,スレッズアフィリエイト,@sasaki_sanshiro,確認済,不明,不明,不明,不明/非公表,収益化ノウハウ発信,「稼ぎ続ける秘密」など継続的収益をテーマに発信,実ハンドル確認済,,1,https://www.threads.com/@sasaki_sanshiro/post/DIAYiCWST7h/
45,___k___319,C. 楽天ROOMインフルエンサー型,楽天アフィリエイト×日用品(主婦・推定),@___k___319,確認済,Threads、楽天アフィリエイト、Instagram(推定),不明,不明,不明/非公表,楽天アフィリエイト/楽天ROOM,PR表記など規約Q&Aにも回答する実務派,実在Threads運用者。属性・数値不明、信頼度中,,1,https://www.threads.com/@___k___319
46,anママ,C. 楽天ROOMインフルエンサー型,楽天ROOM×日用品(ママ),@anmamaroom,確認済,Threads、楽天ROOM、Instagram(推定),不明,不明,不明/非公表,楽天ROOM/楽天アフィリエイト,PR表記や規約に触れる実務的な投稿も,実在Threads運用者。数値不明、信頼度中,,1,https://www.threads.com/@anmamaroom
47,＃クセかわ,C. 楽天ROOMインフルエンサー型,手土産・スイーツ紹介×楽天アフィ,@kusekawa_ii,確認済,楽天ROOM(kusekawa_ii),不明,不明,不明/非公表,楽天ROOMリンク誘導,美味しい手土産・スイーツをテーマ特化で紹介,実ハンドル+ROOM確認済。商品紹介型,,1,https://www.threads.com/@kusekawa_ii/post/DVshnYkFOUc/
48,Sota Tominaga,D. コンサル・教育事業型,SNSマーケ・Threads収益化(楽天特化ではない),@sota_tominaga,確認済,不明,不明(大型アカウント),「Threadsだけで毎月1000万円以上利益」,①誇大・要検証(月100万超〜/累計高額),高額商材/コンサル示唆,大型実績訴求のマーケ系インフルエンサー,実ハンドル確認済。数値は極めて大きく検証不可、要留保,要注意(誇大の可能性),1,https://www.threads.com/@sota_tominaga/post/DT7ck1RlHZr/
49,山口尚孝│SNS運用コンサル,D. コンサル・教育事業型,SNS運用・Threads×楽天アフィリエイト,@satoru_obento,確認済,不明,不明,「月5万増やすならThreadsで楽天アフィ」訴求,④月1〜5万(初級レンジ),SNS運用コンサル,初心者向けに始め方をステップ解説,実ハンドル確認済。コンサル系,,1,https://www.threads.com/@satoru_obento/post/DOsDtbwEgty/
50,しろ,E. 検証・批評型,SNS運用・楽天アフィ検証,@shiro_sns01,確認済,不明,不明,言及なし(「売上≠成果報酬」と警鐘),⑤目標値/少額・実額不明,SNS運用ノウハウ,稼ぐ系の誇張に対する批判的・注意喚起の視点,実ハンドル確認済。健全な批判的視点で信頼度高,,1,https://www.threads.com/@shiro_sns01/post/DHj7r03y1pK/
51,K_san,A. 教材・ノウハウ販売型,Threads×楽天アフィ全記録,不明,不明,note(right_sable8621),フォロワー0スタートと主張,フォロワー0から月3万円,④月1〜5万(初級レンジ),note有料記事(複数本),『有料note1本から報酬発生』を訴求,自販note内の自己申告,,1,https://note.com/right_sable8621/n/n75777e83b61a
52,Kyon｜ママ副業×発信,A. 教材・ノウハウ販売型,楽天ROOM×X/Threads(ママ副業),不明,不明,"note(kyonroom), X・楽天ROOM",不明,「副業収入になった」,⑤目標値/少額・実額不明,note記事、楽天ROOM,ブログなしでROOMリンクを各SNSに貼る手法,note発信者。ハンドル未確認,,1,https://note.com/kyonroom/n/nafd71ed1f5f2
53,Shun Takaki | Traveler,A. 教材・ノウハウ販売型,Threadsアフィリエイト（裏ルート）,不明,不明,note(inakaonline),『フォロワー100人から収益化』と訴求,『月1万円を稼ぐ裏ルート』（目標値）,④月1〜5万(初級レンジ),note『月1万円を稼ぐ裏ルート』販売,仕組み化・顔出し不要・少フォロワー訴求,『裏ルート』の煽り表現。目標値ベース,,1,https://note.com/inakaonline/n/nd317cb356cca
54,Watata,A. 教材・ノウハウ販売型,AI活用/日用品,不明,不明,note(@kiku5234),不明,AI楽天アフィで月10万円(本人公表),③月8〜10万,有料note(AI×楽天アフィ手法),AI(ChatGPT)活用の自動化を前面に出す,本人公表のみ・検証不可。月10万は誇張の可能性,,1,https://note.com/kiku5234/n/n77f491456366
55,ann,A. 教材・ノウハウ販売型,Threadsで稼ぐ検証,不明,不明,note(ann_sukinayouni),不明,『4日で総売上150万』(note見出し),⑤目標値/少額・実額不明,note有料記事,短期高額売上をフックにした検証note,「総売上」であり報酬額ではない点に注意。誇大寄り,要注意(誇大の可能性),1,https://note.com/ann_sukinayouni/n/n9cae3538e073
56,dear_pico,A. 教材・ノウハウ販売型,楽天ROOMアフィリエイト（超初心者）,不明,不明,note(dear_pico),不明,不明,不明/非公表,note『楽天ROOMのやり方完全ガイド 5ステップ』,育児の合間に・ゆるく続ける超初心者ガイド,楽天ROOM側の該当者。堅実、誇張少,,1,https://note.com/dear_pico/n/na6a1f8618b59
57,haruroooom,A. 教材・ノウハウ販売型,日用品/暮らし(楽天ROOM主体・主婦),不明,不明,"note(@haruroooom), 楽天ROOM",不明,楽天ROOMで月5万達成(本人公表),④月1〜5万(初級レンジ),有料note(楽天ROOM攻略ロードマップ),『普通の主婦』の楽天ROOM攻略ロードマップ,本人公表のみ・検証不可,,1,https://note.com/haruroooom/n/n101756997dd8
58,panko（ぱんこ）,A. 教材・ノウハウ販売型,Threads×Amazon（元楽天アフィ）,不明,不明,Tips(panko-tips),不明,『楽天アフィから変更したら報酬が15倍』（自己申告）,⑤目標値/少額・実額不明,Tips『Threads×Amazon完全攻略ガイド』販売,楽天→Amazon乗り換えの比較・報酬最適化訴求,『15倍』は自己申告で誇大の可能性,要注意(誇大の可能性),1,https://tips.jp/u/panko-tips/a/irlnrUeA
59,room10yu,A. 教材・ノウハウ販売型,日用品/暮らし,不明,不明,"note(@room10yu), 楽天ROOM(推定)",不明,1ヶ月で月収20万円(訴求),⑤目標値/少額・実額不明,有料note/攻略本レビュー,他者攻略本の『再現性No.1』レビュー＋自身の実績訴求,本人公表のみ・検証不可。月20万は誇張の可能性,,1,https://note.com/room10yu/n/n2a7b77001c87
60,sakura（さくら）,A. 教材・ノウハウ販売型,楽天ROOM×AI（GPTs）副業,不明,不明,Tips(sakurass_tips),不明,『月10万円を狙う』（目標値）,③月8〜10万,Tips『楽天ROOM副業で月10万円を狙うAI活用術』販売,楽天ROOM特化・GPTsで文章丸投げ,目標値訴求。楽天ROOM側の該当セラー,,1,https://tips.jp/u/sakurass_tips/a/lDwvDFwN
61,shio,A. 教材・ノウハウ販売型,楽天ROOM/Threadsアフィ,不明,不明,note(tsrm730),不明,「楽天ROOM成果ゼロから」の脱出術,⑤目標値/少額・実額不明,note有料記事,スマホ完結・ROOM挫折者向け,金額提示乏しい,,1,https://note.com/tsrm730/n/n81f57662c115
62,あき,A. 教材・ノウハウ販売型,Threads×誘導線×アフィリエイト,不明,不明,Brain(mera_mera),不明,不明,不明/非公表,Brain『Threads×誘導線×アフィリエイトで収益を作る方法』販売,リスト/誘導線設計を軸にした収益化解説,楽天特化ではなくアフィリ全般寄り。実績不明,,1,https://brain-market.com/u/mera_mera/a/b5gzM5AjMgoTZsNWa0JXY
63,あさノン,A. 教材・ノウハウ販売型,2児ママ副業,不明,不明,note(asanon_non),不明（フォロバ100運用）,『副業で月20万の2児ママ』(プロフィール),②月15〜50万(要検証),note有料記事想定,プロフィールで月20万を掲示,収益はプロフィール自己申告、内訳不明,,1,https://note.com/asanon_non
64,きらぷる堂,A. 教材・ノウハウ販売型,Threads×楽天アフィリエイト（体験記型教材）,@kirapurudo（推定）,推定,Brain(kirapurudo),不明,"月8万円収益達成（自己申告、38,000文字体験）",③月8〜10万,Brain『月8万円収益達成』販売（無料部分あり）,"38,000字のリアル体験談ベース",月8万は自己申告。無料部分公開で検証余地あり、中程度,,1,https://brain-market.com/u/kirapurudo/a/b4kjM5IjMgoTZsNWa0JXY
65,きりん🦒30代ママ,A. 教材・ノウハウ販売型,子育て/旅行/日用品(30代ママ),不明,不明,"note(@decoboco_sisters), 楽天ROOM系(推定)",不明,『爆速収益化』(具体額不明・本人公表),⑤目標値/少額・実額不明,有料note(有料級ノウハウ徹底解説),お買い物・旅行のお得情報×楽天アフィの掛け合わせ,本人公表のみ・検証不可。『爆速』は誇張の可能性,,1,https://note.com/decoboco_sisters/n/n46183f068d61
66,くみこ,A. 教材・ノウハウ販売型,SNS発信・スレッズ収益化解説,不明,不明,note(kumiko_business),不明,不明,不明/非公表,note有料記事,『スレッズ収益化2026』仕組み解説型,解説系、個人実績は前面に出さず,,1,https://note.com/kumiko_business/n/nd98ef2978e57
67,ぐーたら団長,A. 教材・ノウハウ販売型,副業全般/日用品,不明,不明,note(@gudegudedantyou),不明,1ヶ月で20万円(訴求),⑤目標値/少額・実額不明,有料note(副業が最強の理由),『これならできるかも』で始めた成功体験訴求型,本人公表のみ・検証不可。月20万は誇張の可能性,,1,https://note.com/gudegudedantyou/n/n38ec2970cb66
68,この世は金と知恵,A. 教材・ノウハウ販売型,日用品/暮らし(時短リサーチ),不明,不明,note(@money_wisdom),不明,月20万(200部突破スタートガイド訴求),②月15〜50万(要検証),有料note(200部突破スタートガイド),『200部突破』『月20万』を前面に出す販売強め型,本人公表のみ・検証不可。月20万は誇張の可能性,,1,https://note.com/money_wisdom/n/n3b9c803d46ab
69,たけママ,A. 教材・ノウハウ販売型,Threads×楽天アフィリエイト(ワーママ),不明,不明,Amazon Kindle,不明,「月1万円」書籍タイトル訴求,④月1〜5万(初級レンジ),Kindle電子書籍販売,フォロワー0・ワーママ向け7日ロードマップ,Kindle著者。実績は書籍内自己申告,,1,https://www.amazon.co.jp/dp/B0FPCH9P53
